NomeEsteso,Tipologia_ateneo_descrizione,Statale/NonStataleLibera,COMUNE,Zona Geografica,URL,APPLY,Nunero Iscritti,ranking
Università degli studi di Torino,University,Yes,TORINO,NORD,www.unito.it,https://en.unito.it/studying-unito/international-degree-seeking-students,77820,10
Politecnico di Torino,Polytechnic,Yes,TORINO,NORD,www.polito.it,https://www.polito.it/en/education/international-students/exchange-students/admission-procedure/applypolito,33585,5
Università degli studi del Piemonte orientale Amedeo Avogadro,University,Yes,VERCELLI,NORD,www.uniupo.it,https://www.uniupo.it/en/international/students/you-want-come-upo,13939,100001
Università di Scienze Gastronomiche,University,No,BRA,NORD,www.unisg.it,https://www.unisg.it/en/programs-admissions/three-year-undergraduate-degree/,352,100002
Università della Valle d'Aosta,University,No,AOSTA,NORD,www.univda.it,https://www.univda.it/servizi/diritto-allo-studio-e-tasse/studenti-stranieri-o-con-titolo-di-studio-conseguito-allestero/,984,100003
Università degli studi di Genova,University,Yes,GENOVA,NORD,www.unige.it,https://corsi.unige.it/info/futuri-studenti-immatricolazioni,31860,16
Università Carlo Cattaneo (LIUC),University,No,CASTELLANZA,NORD,www.liuc.it,https://www.liuc.it/campus-ed-opportunita/international-office/incoming-students/,2850,100005
Università degli Studi dell' Insubria,University,Yes,VARESE,NORD,www.uninsubria.it,https://www.uninsubria.eu/profili/international-students,11776,100006
Università telematica e-Campus di Novedrate (CO),Telematic university,No,NOVEDRATE,NORD,www.uniecampus.it,https://www.uniecampus.it/en/registration/enrolment-and-registration-process/,36044,100007
Università degli Studi di Milano,University,Yes,MILANO,NORD,www.unimi.it,https://www.unimi.it/en/international/coming-abroad,60988,6
Politecnico di Milano,Polytechnic,Yes,MILANO,NORD,www.polimi.it,https://www.polimi.it/en/exchange-students-incoming,46922,1
Università Commerciale Luigi Bocconi di Milano,University,No,MILANO,NORD,www.unibocconi.it,https://www.unibocconi.eu/wps/wcm/connect/bocconi/sitopubblico_en/navigation+tree/info/international+students,13743,100010
Università Cattolica del Sacro Cuore,University,No,MILANO,NORD,www.unicatt.it,https://www.unicatt.eu/enrolment-enrolling-in-the-undergraduate-or-integrated-degree-programmes,42183,15
Libera Università di Lingue e Comunicazione (IULM),University,No,MILANO,NORD,www.iulm.it,https://www.iulm.it/wps/wcm/connect/iulm/en/orientamento-iscrizioni/iscrizioni-per-studenti-stranieri,7389,100012
Libera Università Vita-Salute San Raffaele di Milano,University,No,MILANO,NORD,www.unisr.it,https://www.unisr.it/en/servizi/ammissioni,3881,18
Università degli Studi di Milano - Bicocca,University,Yes,MILANO,NORD,www.unimib.it,https://en.unimib.it/education/teaching/how-enrol-information-international-students,35207,13
Humanitas University,University,No,ROZZANO,NORD,https://www.hunimed.eu/,https://www.hunimed.eu/course/medtec-school/apply/,1446,100015
Università degli Studi di Bergamo,University,Yes,BERGAMO,NORD,www.unibg.it,https://en.unibg.it/study/enrollment/steps-for-enrollment,19947,42
Università degli Studi di Brescia,University,Yes,BRESCIA,NORD,www.unibs.it,https://www.unibs.it/en/education/enrolling/orientation-and-selection-suitable-degree-course,15013,27
Università degli Studi di Pavia,University,Yes,PAVIA,NORD,www.unipv.it,https://internazionale.unipv.eu/en/mobility/come-to-pavia/,24379,12
Istituto universitario di studi superiori di Pavia,High School with a special arrangement,Yes,PAVIA,NORD,www.iusspavia.it,https://www.iusspavia.it/en/education/doctoral-programmes/cognitive-brain-sciences/call-application,Unknown,100019
Libera Università di Bolzano,University,No,BOLZANO - BOZEN,NORD,www.unibz.it,https://www.unibz.it/en/applicants/international/incoming-exchange-students/,4046,19
Università degli Studi di Trento,University,Yes,TRENTO,NORD,www.unitn.it,https://international.unitn.it/incoming/online-opportunities,16534,11
Università degli Studi di Verona,University,Yes,VERONA,NORD,www.univr.it,https://www.univr.it/en/our-services/international-degree-seeking-students,23937,29
Università degli studi Ca' Foscari di Venezia,University,Yes,VENEZIA,NORD,www.unive.it,https://www.unive.it/pag/16399/,20642,21
Università Iuav di Venezia,University,Yes,VENEZIA,NORD,www.iuav.it,https://www.iuav.it/FUTURI-STU/STUDENTI-S/,4200,100024
Università degli Studi di Padova,University,Yes,PADOVA,NORD,www.unipd.it,https://www.unipd.it/en/studying-padova-admission,66442,4
Università degli Studi di Udine,University,Yes,UDINE,NORD,www.uniud.it,https://www.uniud.it/en/uniud-international/International_Students?set_language=en,14569,40
Università degli Studi di Trieste,University,Yes,TRIESTE,NORD,www.units.it,https://www.units.it/en/students/how-to,16179,23
Scuola Internazionale Superiore di Studi Avanzati di Trieste,High School with a special arrangement,Yes,TRIESTE,NORD,www.sissa.it,https://www.sissa.it/announcement/call-interests-positions-mathematics-sissa,Unknown,100028
Università degli Studi di Parma,University,Yes,PARMA,NORD,www.unipr.it,https://www.unipr.it/en/studenti-e-studentesse-extra-ue,29134,34
Università degli Studi di Modena e Reggio Emilia,University,Yes,MODENA,NORD,www.unimore.it,https://www.unimore.it/ammissione/immaisc.html,26755,20
Università degli Studi di Bologna,University,Yes,BOLOGNA,NORD,www.unibo.it,https://www.unibo.it/en/international/incoming-exchange-students,84242,3
